O=C4\C=C2/[C@]([C@H]1CC[C@@]3([C@@H](O)CC[C@H]3[C@@H]1CC2)C)(C)CC4 testosterone
CC(C)CC(=O)[C@H]1CCC2C3CNC4=CC(=O)CC[C@]4(C)C3CC[C@@]21C CHEMBL420020
CN1CC2C3CC[C@H](C(=O)NC45CC6CC(CC(C6)C4)C5)[C@@]3(C)CCC2[C@@]2(C)CCC(=O)C=C12 CHEMBL310711
